,0,1,2
0,0,2014-07-01 00:00:00,10844
1,1,2014-07-01 00:30:00,8127
2,2,2014-07-01 01:00:00,6210
3,3,2014-07-01 01:30:00,4656
4,4,2014-07-01 02:00:00,3820
5,5,2014-07-01 02:30:00,2873
6,6,2014-07-01 03:00:00,2369
7,7,2014-07-01 03:30:00,2064
8,8,2014-07-01 04:00:00,2221
9,9,2014-07-01 04:30:00,2158
10,10,2014-07-01 05:00:00,2515
11,11,2014-07-01 05:30:00,4364
12,12,2014-07-01 06:00:00,6526
13,13,2014-07-01 06:30:00,11039
14,14,2014-07-01 07:00:00,13857
15,15,2014-07-01 07:30:00,15865
16,16,2014-07-01 08:00:00,17920
17,17,2014-07-01 08:30:00,20346
18,18,2014-07-01 09:00:00,19539
19,19,2014-07-01 09:30:00,20107
20,20,2014-07-01 10:00:00,18984
21,21,2014-07-01 10:30:00,17720
22,22,2014-07-01 11:00:00,17249
23,23,2014-07-01 11:30:00,18463
24,24,2014-07-01 12:00:00,18908
25,25,2014-07-01 12:30:00,18886
26,26,2014-07-01 13:00:00,18178
27,27,2014-07-01 13:30:00,19459
28,28,2014-07-01 14:00:00,19546
29,29,2014-07-01 14:30:00,20591
30,30,2014-07-01 15:00:00,19380
31,31,2014-07-01 15:30:00,18544
32,32,2014-07-01 16:00:00,16228
33,33,2014-07-01 16:30:00,15013
34,34,2014-07-01 17:00:00,17203
35,35,2014-07-01 17:30:00,19525
36,36,2014-07-01 18:00:00,22966
37,37,2014-07-01 18:30:00,27598
38,38,2014-07-01 19:00:00,26827
39,39,2014-07-01 19:30:00,24904
40,40,2014-07-01 20:00:00,22875
41,41,2014-07-01 20:30:00,20394
42,42,2014-07-01 21:00:00,23401
43,43,2014-07-01 21:30:00,24439
44,44,2014-07-01 22:00:00,23318
45,45,2014-07-01 22:30:00,21733
46,46,2014-07-01 23:00:00,20104
47,47,2014-07-01 23:30:00,16111
48,48,2014-07-02 00:00:00,13370
49,49,2014-07-02 00:30:00,9945
50,50,2014-07-02 01:00:00,7571
51,51,2014-07-02 01:30:00,5917
52,52,2014-07-02 02:00:00,4820
53,53,2014-07-02 02:30:00,3634
54,54,2014-07-02 03:00:00,2993
55,55,2014-07-02 03:30:00,2535
56,56,2014-07-02 04:00:00,2570
57,57,2014-07-02 04:30:00,2485
58,58,2014-07-02 05:00:00,2868
59,59,2014-07-02 05:30:00,4482
60,60,2014-07-02 06:00:00,6788
61,61,2014-07-02 06:30:00,11078
62,62,2014-07-02 07:00:00,13729
63,63,2014-07-02 07:30:00,16700
64,64,2014-07-02 08:00:00,19156
65,65,2014-07-02 08:30:00,19953
66,66,2014-07-02 09:00:00,19502
67,67,2014-07-02 09:30:00,18994
68,68,2014-07-02 10:00:00,17311
69,69,2014-07-02 10:30:00,17904
70,70,2014-07-02 11:00:00,17133
71,71,2014-07-02 11:30:00,18589
72,72,2014-07-02 12:00:00,19134
73,73,2014-07-02 12:30:00,19259
74,74,2014-07-02 13:00:00,18667
75,75,2014-07-02 13:30:00,19078
76,76,2014-07-02 14:00:00,18546
77,77,2014-07-02 14:30:00,18593
78,78,2014-07-02 15:00:00,17967
79,79,2014-07-02 15:30:00,16624
80,80,2014-07-02 16:00:00,14634
81,81,2014-07-02 16:30:00,13888
82,82,2014-07-02 17:00:00,17430
83,83,2014-07-02 17:30:00,21919
84,84,2014-07-02 18:00:00,23633
85,85,2014-07-02 18:30:00,24512
86,86,2014-07-02 19:00:00,24887
87,87,2014-07-02 19:30:00,26872
88,88,2014-07-02 20:00:00,22009
89,89,2014-07-02 20:30:00,18259
90,90,2014-07-02 21:00:00,20844
91,91,2014-07-02 21:30:00,22576
92,92,2014-07-02 22:00:00,22401
93,93,2014-07-02 22:30:00,19056
94,94,2014-07-02 23:00:00,17518
95,95,2014-07-02 23:30:00,15307
96,96,2014-07-03 00:00:00,12646
97,97,2014-07-03 00:30:00,10562
98,98,2014-07-03 01:00:00,8416
99,99,2014-07-03 01:30:00,7098
100,100,2014-07-03 02:00:00,5826
101,101,2014-07-03 02:30:00,4383
102,102,2014-07-03 03:00:00,3270
103,103,2014-07-03 03:30:00,2948
104,104,2014-07-03 04:00:00,3146
105,105,2014-07-03 04:30:00,3077
106,106,2014-07-03 05:00:00,3000
107,107,2014-07-03 05:30:00,4592
108,108,2014-07-03 06:00:00,6486
109,109,2014-07-03 06:30:00,10113
110,110,2014-07-03 07:00:00,12240
111,111,2014-07-03 07:30:00,14574
112,112,2014-07-03 08:00:00,16778
113,113,2014-07-03 08:30:00,18910
114,114,2014-07-03 09:00:00,18350
115,115,2014-07-03 09:30:00,17218
116,116,2014-07-03 10:00:00,16097
117,117,2014-07-03 10:30:00,16409
118,118,2014-07-03 11:00:00,15893
119,119,2014-07-03 11:30:00,16778
120,120,2014-07-03 12:00:00,17604
121,121,2014-07-03 12:30:00,18665
122,122,2014-07-03 13:00:00,19045
123,123,2014-07-03 13:30:00,19261
124,124,2014-07-03 14:00:00,19363
125,125,2014-07-03 14:30:00,19078
126,126,2014-07-03 15:00:00,18193
127,127,2014-07-03 15:30:00,16635
128,128,2014-07-03 16:00:00,14615
129,129,2014-07-03 16:30:00,13759
130,130,2014-07-03 17:00:00,17008
131,131,2014-07-03 17:30:00,19595
132,132,2014-07-03 18:00:00,21328
133,133,2014-07-03 18:30:00,22661
134,134,2014-07-03 19:00:00,29985
135,135,2014-07-03 19:30:00,21501
136,136,2014-07-03 20:00:00,22684
137,137,2014-07-03 20:30:00,22188
138,138,2014-07-03 21:00:00,22663
139,139,2014-07-03 21:30:00,19573
140,140,2014-07-03 22:00:00,17136
141,141,2014-07-03 22:30:00,16606
142,142,2014-07-03 23:00:00,16166
143,143,2014-07-03 23:30:00,16020
144,144,2014-07-04 00:00:00,15591
145,145,2014-07-04 00:30:00,14395
146,146,2014-07-04 01:00:00,12535
147,147,2014-07-04 01:30:00,11341
148,148,2014-07-04 02:00:00,9980
149,149,2014-07-04 02:30:00,8404
150,150,2014-07-04 03:00:00,7200
151,151,2014-07-04 03:30:00,6578
152,152,2014-07-04 04:00:00,5657
153,153,2014-07-04 04:30:00,4474
154,154,2014-07-04 05:00:00,3459
155,155,2014-07-04 05:30:00,3276
156,156,2014-07-04 06:00:00,3595
157,157,2014-07-04 06:30:00,4240
158,158,2014-07-04 07:00:00,4828
159,159,2014-07-04 07:30:00,4926
160,160,2014-07-04 08:00:00,5165
161,161,2014-07-04 08:30:00,5776
162,162,2014-07-04 09:00:00,7338
163,163,2014-07-04 09:30:00,7839
164,164,2014-07-04 10:00:00,8623
165,165,2014-07-04 10:30:00,9731
166,166,2014-07-04 11:00:00,11024
167,167,2014-07-04 11:30:00,13231
168,168,2014-07-04 12:00:00,13613
169,169,2014-07-04 12:30:00,13737
170,170,2014-07-04 13:00:00,15574
171,171,2014-07-04 13:30:00,14226
172,172,2014-07-04 14:00:00,18480
173,173,2014-07-04 14:30:00,18265
174,174,2014-07-04 15:00:00,16575
175,175,2014-07-04 15:30:00,16417
176,176,2014-07-04 16:00:00,14703
177,177,2014-07-04 16:30:00,13469
178,178,2014-07-04 17:00:00,12105
179,179,2014-07-04 17:30:00,11676
180,180,2014-07-04 18:00:00,15487
181,181,2014-07-04 18:30:00,15077
182,182,2014-07-04 19:00:00,14999
183,183,2014-07-04 19:30:00,14487
184,184,2014-07-04 20:00:00,14415
185,185,2014-07-04 20:30:00,13796
186,186,2014-07-04 21:00:00,14036
187,187,2014-07-04 21:30:00,14021
188,188,2014-07-04 22:00:00,15593
189,189,2014-07-04 22:30:00,16589
190,190,2014-07-04 23:00:00,17984
191,191,2014-07-04 23:30:00,18035
192,192,2014-07-05 00:00:00,17576
193,193,2014-07-05 00:30:00,16189
194,194,2014-07-05 01:00:00,14441
195,195,2014-07-05 01:30:00,12535
196,196,2014-07-05 02:00:00,11006
197,197,2014-07-05 02:30:00,9151
198,198,2014-07-05 03:00:00,8010
199,199,2014-07-05 03:30:00,7096
200,200,2014-07-05 04:00:00,6407
201,201,2014-07-05 04:30:00,4421
202,202,2014-07-05 05:00:00,3126
203,203,2014-07-05 05:30:00,2514
204,204,2014-07-05 06:00:00,2550
205,205,2014-07-05 06:30:00,3148
206,206,2014-07-05 07:00:00,3658
207,207,2014-07-05 07:30:00,4345
