ground_truth,LSTM-Enc-Dnc,CONV1D-DENSE,CONV1D-LSTM,AttnLSTM
4462,6685.537897050381,6260.40567240119,6548.526489198208,2771.272449940443
6496,7324.3113073408595,7415.911524862051,6916.499383926392,3114.929183393717
11269,9995.006571993232,10064.984443128107,9375.103881001472,5815.502843618393
14140,12066.283350870011,12362.748395055532,11564.421490997076,10294.654206931591
18040,15696.486806325613,15934.314805746078,15256.564878061414,13226.474327296019
19618,17770.627916879952,18224.878219090402,17445.77328723669,16455.274254001677
19631,19597.712919988204,17827.68125776946,19116.70350787044,17885.403672669083
18598,20151.613697186112,18562.10400236212,19769.504843860865,18606.44552102126
17797,19368.009760880377,17213.059039600194,18904.54543871805,17546.013362709433
16160,18047.97785383464,18547.157432060692,17735.809498101473,16671.900067411363
15872,17286.237604297698,17500.254715222865,17492.44890043512,15477.01388810575
15103,16526.446034640074,18351.534819744527,16590.163545377553,15433.210052095354
16858,16596.030607633293,16614.895487315953,17056.781862422824,14650.293018877506
17532,16368.10046545416,16819.934334538877,16529.378981806338,15882.428065165877
16478,17320.99237126112,18885.131635125726,18135.096604000777,16868.29365503788
16071,17676.79667404294,18499.326596815143,18418.00308162719,16618.831096559763
17036,16805.122440382842,17554.15860518068,16592.178504899144,15615.233220539987
17167,16751.963247463107,17089.887813791633,16308.591274030508,15839.79770000279
18607,17939.74582581222,18559.946848189462,17868.100160330534,16833.327493973076
19387,17859.47300354391,18434.732705697417,17611.25618116185,16867.05799227953
16274,18437.578204613183,18555.00923382491,18603.985217779875,17608.422653459013
15210,18228.86492497474,18552.205488163978,19302.150151230395,17688.56379238516
14695,14614.832534313204,18948.24292072095,16280.870616592469,14471.70996825397
16686,15229.305842272937,17059.91452445835,15754.514779135583,14516.99210307002
19234,17693.39184095338,17398.751238815486,16895.050775825977,17936.51389030367
21350,19930.285386953503,20421.324613386765,18793.10249780491,19528.309434401453
22150,21135.346367292106,20541.38909045607,20763.363408215344,20808.58583295718
21582,22302.806497789923,21000.32042890042,21865.82306432724,21894.025928061455
20321,22349.92898760736,21272.36653456837,22009.303598850962,21963.7778060548
20071,21147.82314497605,20817.630960263312,20864.91053575277,20815.283945573494
18532,19617.30187556473,20617.918207863346,19411.307174436748,19317.48012882378
18801,19472.089164927136,20530.4504676424,19414.229902274907,19236.93182266783
17972,18364.229999069124,20612.3798429966,18004.8395880647,17623.98931799084
17298,18537.86835479364,20446.502264020965,18452.550250239667,17756.038804076612
14655,17541.480214752257,19664.632771242526,17659.46586149931,16417.436753720045
12376,16570.593532055616,19511.98334148759,16662.11637466401,15363.10166554153
10191,14051.77033020556,16334.087329730393,14431.651953965425,12482.207668915391
11139,12021.33232228458,12550.48971554637,12638.81624430418,10185.240240618587
7323,10459.86570470035,11581.785005390644,10998.709853082895,8230.333578705788
5142,11959.542176827788,13735.24445296824,12885.739737719297,9253.590814173222
3987,8792.222603946924,9458.804265916348,8383.123629152775,6711.4400980472565
3197,6786.057544142008,7008.288805007935,6659.586643278599,4748.426297158003
2336,6780.295011013746,8109.188407689334,6709.006146073341,3495.186294466257
1800,6609.914869070052,7274.959544092417,6296.913784086704,2598.9103423058987
1742,5790.7218489050865,6275.965913355351,5879.771322131157,2064.1907147467136
1901,5486.518729478121,6048.623820513488,5693.665094137194,1779.601697742939
1681,5887.265885382891,6546.440578341484,5960.453793466091,1763.4586631059647
2036,6367.102465361358,6876.665026932957,6319.431343615055,1881.820673108101
4284,6332.522594898939,6730.861493140459,6306.1941019296655,2171.150290429592
6390,7038.516993582249,8106.036182940006,6674.269773900509,3018.5428165495396
11432,10033.488473907111,9957.57404908538,9271.032579421995,6341.846125900745
14929,12260.354815170169,12847.868659645319,11583.56900809705,10598.467823967338
19814,16104.24120952189,16193.761063821614,15456.669833675027,13449.14414332807
21295,18721.14156605117,19643.679279880715,18108.926656607546,17120.851210027933
21258,21236.267779968683,19056.896861003712,20234.66121302545,18958.02537254989
20209,21602.9455938451,19045.883089630865,20901.604639209807,19583.240045198763
19420,20480.81811084225,19202.71305946354,20152.18510361761,18756.02779737115
18088,19034.367841228846,19183.286116735082,19000.37456019968,18001.86736948043
17942,18231.846778925512,19184.20987100061,18641.907538484786,17024.911281831563
17251,17634.00922320783,19147.74577542115,17902.607911534607,17143.193581074476
18843,17778.311245720834,19200.159979322,18292.472066968683,16534.154327839613
18906,17583.836263950914,19260.24506638199,17800.018704511218,17752.713142730296
18117,18433.7812862508,19049.786216010343,19319.80506246537,18514.602375471964
17533,18398.66490106285,19152.301916866563,19067.571752157062,17819.633536886424
18593,17753.181917909533,19146.682892302983,17609.029243577268,16915.611480012536
18967,17601.983892790973,19112.815236014318,17397.670325882733,17105.865003332496
20374,18816.11949049681,19784.394605647307,18839.8032213524,18245.212346173823
20245,19011.12602331862,19280.20564052556,18964.318142816424,18457.03711923957
18663,19674.60566298804,19285.38158422057,20018.62228102982,19195.372735070996
16688,18467.336450085044,18263.025948975235,19671.04015766084,18305.327251773328
14860,16412.791047163308,17885.86573228985,17782.158822752535,16042.135724797845
16990,15760.81952061504,17159.941745925695,16483.390253446996,14938.113679409027
20233,16974.022823616862,15800.307588376103,15844.06879518926,16735.69582900405
23012,20792.0255577527,18313.857908904552,19444.85255691409,20377.237410007045
24353,22490.537306971844,18648.85390777886,22124.87135256826,22258.12233965844
24698,24022.531966261566,22825.870835654438,23496.95980527997,23853.92327184975
24188,24453.507894702256,24002.973924152553,24123.986243903637,24531.611883565784
24033,23938.790412053462,22618.900827400386,23864.444508105516,24178.937031030655
23737,22996.172726742923,21252.945723436773,23248.11332629621,23140.181746520102
23774,22887.320531494915,21331.933100219816,23242.704089939594,22920.09946436435
23522,22853.434407420453,21075.249418511987,22921.041686415672,22592.619343340397
21828,22886.08574467897,20938.22107577324,22835.95672853291,22395.553907886147
18996,22316.075273402035,20321.7702548299,22361.84997983277,21729.886291820556
15659,20394.106746891517,17860.090834923092,20144.792733646933,19438.513252207078
12989,17522.561610601842,17991.623223006725,16929.822769656774,15924.054308347404
10584,14307.622012615206,14854.139124520125,14516.10506539047,12397.664043441415
7941,12062.72644072771,13654.710891842842,12649.088128954172,9771.007659345865
6221,10401.848535180092,10816.704203486444,10761.331796079874,7611.0259445905685
4792,8677.02683377266,8603.476869493723,8709.055959939957,5635.725591510534
3814,7871.990210860968,8177.09613493085,7729.201086878777,4362.87849393487
3053,7190.238394290209,7580.925059646368,7051.235677361488,3359.9080846607685
2725,6687.88892647624,6809.310895293951,6578.448681890965,2601.558024227619
2356,6287.485139995813,6675.28937086463,6327.602134406568,2140.131417840719
2327,6170.076155334711,6722.604276031256,6373.242237687111,1983.9917636215687
2058,6012.404185861349,6252.477809637784,6418.98745405674,1959.2633254528046
2267,6372.360455662012,6276.221688538792,6624.364415049553,2083.102895319462
4547,6842.562837064266,6555.885573357344,6644.597516775129,2529.990025639534
6582,7740.9912717044335,7992.441635489464,6938.372249841689,3479.7662042975426
12004,10722.627404794095,10221.451115846634,9561.22996369004,6732.035255968571
15442,12944.365395233037,13585.989122122526,11834.791042894123,11047.120270222425
20021,16754.10288278758,18238.377513546497,15998.631169110537,14509.272714599967
20953,19183.18695275485,20062.68773183972,18596.036478389055,18422.41250271909
21276,21158.44861837849,20074.583759706467,20391.73403789103,19909.106449914165
20444,21119.50597075745,20012.227353979837,20633.083617776632,20174.501415377483
19071,20246.570380028334,19610.122875128058,20161.05110070109,19473.7914312575
17173,19231.571675583717,19522.643378117587,19352.87831198424,18880.4773151353
17446,18253.69146869332,19517.73211502051,18316.800345446918,17417.84503144771
16319,17249.11866877228,18221.300432320684,17155.55400440842,16886.865385994315
18120,17721.27834348753,19318.22385867545,18543.890312865376,16568.89303585887
18258,17399.81185908243,17998.027237959206,17432.92861374095,17816.53576655686
17222,18132.697981704023,19465.25513524702,18867.95922216773,18562.713439293206
16563,18018.52750211954,19443.59928406356,18732.82057918608,17608.63652939722
17953,17168.01603706181,18814.771561119705,16969.926332950592,16353.470767319202
18119,17035.168567441404,18395.160401474684,16688.323987580836,16567.2970687896
18740,18628.704312562946,19384.62843224546,18664.50772858038,18255.022025212646
